backend,batch,seq_len,fwd_ms,tokens_per_s,embeddings_per_s,device,cpu_threads,power_w,joules,embeddings_per_joule,solo,loadavg
cpu,1,32,1.942,16475.4,514.9,cpu-zen5,32,95.3,0.2631,3.8,true,1.59
cpu,1,128,4.423,28937.6,226.1,cpu-zen5,32,123.1,0.619,1.62,true,1.59
cpu,1,256,6.932,36931.0,144.3,cpu-zen5,32,126.9,1.1387,0.88,true,1.59
cpu,8,32,9.2,27827.4,869.6,cpu-zen5,32,122.6,2.0579,3.89,true,1.59
cpu,8,128,22.824,44864.6,350.5,cpu-zen5,32,123.6,4.0474,1.98,true,1.59
cpu,8,256,53.432,38329.2,149.7,cpu-zen5,32,123.6,8.9265,0.9,true,1.59
cpu,32,32,40.021,25586.8,799.6,cpu-zen5,32,121.7,6.1952,5.17,true,1.59
cpu,32,128,71.877,56986.4,445.2,cpu-zen5,32,119.0,15.5634,2.06,true,1.59
cpu,32,256,208.032,39378.5,153.8,cpu-zen5,32,121.7,28.5324,1.12,true,1.59
rocm,1,32,1.024,31240.4,976.3,gfx1151,,83.4,0.0849,11.78,true,1.59
rocm,1,128,1.101,116302.5,908.6,gfx1151,,96.2,0.0935,10.69,true,1.59
rocm,1,256,1.753,145998.6,570.3,gfx1151,,108.8,0.1946,5.14,true,1.59
rocm,8,32,1.605,159513.4,4984.8,gfx1151,,,,,true,1.59
rocm,8,128,3.775,271274.8,2119.3,gfx1151,,,,,true,1.59
rocm,8,256,10.764,190270.0,743.2,gfx1151,,132.4,1.2325,6.49,true,1.59
rocm,32,32,3.789,270284.8,8446.4,gfx1151,,,,,true,1.59
rocm,32,128,15.894,257707.1,2013.3,gfx1151,,141.2,2.2205,14.41,true,1.59
rocm,32,256,42.407,193174.5,754.6,gfx1151,,146.5,3.3291,9.61,true,1.59
rocm-fp16,1,32,0.357,89574.4,2799.2,gfx1151,,88.3,0.0319,31.35,true,2.85
rocm-fp16,1,128,0.48,266435.2,2081.5,gfx1151,,94.2,0.0439,22.76,true,2.85
rocm-fp16,1,256,0.615,416076.2,1625.3,gfx1151,,114.0,0.0681,14.68,true,2.85
rocm-fp16,8,32,0.548,467328.1,14604.0,gfx1151,,,,,true,2.85
rocm-fp16,8,128,1.202,851693.1,6653.9,gfx1151,,,,,true,2.85
rocm-fp16,8,256,2.553,802211.7,3133.6,gfx1151,,,,,true,2.85
rocm-fp16,32,32,1.112,920498.2,28765.6,gfx1151,,,,,true,2.85
rocm-fp16,32,128,4.002,1023560.1,7996.6,gfx1151,,,,,true,2.85
rocm-fp16,32,256,13.784,594298.2,2321.5,gfx1151,,135.9,1.6096,19.88,true,2.85
rocm-int8,1,32,0.351,91237.5,2851.2,gfx1151,,67.7,0.023,43.5,true,2.85
rocm-int8,1,128,0.432,295969.5,2312.3,gfx1151,,90.3,0.0387,25.82,true,2.85
rocm-int8,1,256,0.62,413235.8,1614.2,gfx1151,,106.5,0.0647,15.46,true,2.85
rocm-int8,8,32,1.059,241760.3,7555.0,gfx1151,,,,,true,2.85
rocm-int8,8,128,1.67,613352.2,4791.8,gfx1151,,,,,true,2.85
rocm-int8,8,256,3.949,518617.8,2025.9,gfx1151,,,,,true,2.85
rocm-int8,32,32,7.665,133592.0,4174.8,gfx1151,,112.9,0.7772,41.17,true,2.85
rocm-int8,32,128,11.351,360846.4,2819.1,gfx1151,,120.6,1.1413,28.04,true,2.85
rocm-int8,32,256,25.019,327432.4,1279.0,gfx1151,,128.0,3.246,9.86,true,2.85
rocm-fp8,1,32,0.96,33331.1,1041.6,gfx1151,,75.2,0.0701,14.26,true,2.85
rocm-fp8,1,128,1.14,112238.0,876.9,gfx1151,,91.1,0.1012,9.89,true,2.85
rocm-fp8,1,256,1.584,161641.5,631.4,gfx1151,,102.6,0.149,6.71,true,2.85
rocm-fp8,8,32,2.332,109767.8,3430.2,gfx1151,,,,,true,2.85
rocm-fp8,8,128,4.295,238431.1,1862.7,gfx1151,,,,,true,2.85
rocm-fp8,8,256,11.917,171859.7,671.3,gfx1151,,123.5,1.2923,6.19,true,2.85
rocm-fp8,32,32,27.387,37390.3,1168.4,gfx1151,,107.1,2.2835,14.01,true,2.85
rocm-fp8,32,128,47.57,86103.9,672.7,gfx1151,,113.5,3.3874,9.45,true,2.85
rocm-fp8,32,256,108.004,75849.0,296.3,gfx1151,,109.0,9.4175,3.4,true,2.85
