backend,batch,seq_len,fwd_ms,tokens_per_s,embeddings_per_s,device,cpu_threads,power_w,joules,embeddings_per_joule,solo,loadavg
cpu,1,32,1.942,16475.4,514.9,cpu-zen5,32,95.3,0.2631,3.8,true,1.59
cpu,1,128,4.423,28937.6,226.1,cpu-zen5,32,123.1,0.619,1.62,true,1.59
cpu,1,256,6.932,36931.0,144.3,cpu-zen5,32,126.9,1.1387,0.88,true,1.59
cpu,8,32,9.2,27827.4,869.6,cpu-zen5,32,122.6,2.0579,3.89,true,1.59
cpu,8,128,22.824,44864.6,350.5,cpu-zen5,32,123.6,4.0474,1.98,true,1.59
cpu,8,256,53.432,38329.2,149.7,cpu-zen5,32,123.6,8.9265,0.9,true,1.59
cpu,32,32,40.021,25586.8,799.6,cpu-zen5,32,121.7,6.1952,5.17,true,1.59
cpu,32,128,71.877,56986.4,445.2,cpu-zen5,32,119.0,15.5634,2.06,true,1.59
cpu,32,256,208.032,39378.5,153.8,cpu-zen5,32,121.7,28.5324,1.12,true,1.59
rocm,1,32,1.024,31240.4,976.3,gfx1151,,83.4,0.0849,11.78,true,1.59
rocm,1,128,1.101,116302.5,908.6,gfx1151,,96.2,0.0935,10.69,true,1.59
rocm,1,256,1.753,145998.6,570.3,gfx1151,,108.8,0.1946,5.14,true,1.59
rocm,8,32,1.605,159513.4,4984.8,gfx1151,,,,,true,1.59
rocm,8,128,3.775,271274.8,2119.3,gfx1151,,,,,true,1.59
rocm,8,256,10.764,190270.0,743.2,gfx1151,,132.4,1.2325,6.49,true,1.59
rocm,32,32,3.789,270284.8,8446.4,gfx1151,,,,,true,1.59
rocm,32,128,15.894,257707.1,2013.3,gfx1151,,141.2,2.2205,14.41,true,1.59
rocm,32,256,42.407,193174.5,754.6,gfx1151,,146.5,3.3291,9.61,true,1.59
