elapsed_s,power_w,gpu_use_pct,vram_used_mb,vram_total_mb
0.0,51.057,100.0,1927.37890625,32768.0
0.361,75.074,100.0,1940.796875,32768.0
0.84,100.059,100.0,1952.796875,32768.0
1.274,116.06,100.0,1964.8046875,32768.0
1.777,127.082,99.0,1980.796875,32768.0
2.278,134.046,99.0,1996.80078125,32768.0
2.729,138.011,98.0,2008.80078125,32768.0
3.217,140.052,99.0,2020.80859375,32768.0
3.693,140.084,99.0,2032.80859375,32768.0
4.127,141.054,99.0,2044.8125,32768.0
4.581,141.091,99.0,2056.80859375,32768.0
5.053,141.086,99.0,2068.80859375,32768.0
5.574,143.04,99.0,2084.796875,32768.0
6.056,143.068,99.0,2096.80078125,32768.0
6.457,141.08,99.0,2108.796875,32768.0
6.933,140.087,99.0,2124.80859375,32768.0
7.398,140.057,99.0,1712.88671875,32768.0
7.837,140.056,98.0,1732.890625,32768.0
8.411,140.074,99.0,1744.8828125,32768.0
8.841,141.059,99.0,1756.86328125,32768.0
9.334,142.034,99.0,1772.875,32768.0
9.792,141.005,99.0,1788.87109375,32768.0
10.331,139.057,99.0,1800.875,32768.0
10.89,139.066,99.0,1816.8515625,32768.0
11.388,139.028,99.0,1832.86328125,32768.0
11.92,140.025,99.0,1848.859375,32768.0
12.477,140.039,99.0,1860.859375,32768.0
12.928,140.011,99.0,1872.8671875,32768.0
13.376,140.025,99.0,1884.8515625,32768.0
13.889,140.023,99.0,1907.38671875,32768.0
14.359,140.01,99.0,1919.3828125,32768.0
14.866,140.024,99.0,1931.375,32768.0
15.301,140.047,99.0,1951.3828125,32768.0
15.917,139.053,99.0,1971.3828125,32768.0
16.486,138.098,99.0,1983.3828125,32768.0
16.953,130.044,99.0,1991.359375,32768.0
17.321,109.019,99.0,1999.40234375,32768.0
17.681,94.013,99.0,2011.39453125,32768.0
18.041,84.083,99.0,2023.38671875,32768.0
18.398,104.023,99.0,2035.3828125,32768.0
18.807,116.092,99.0,2047.359375,32768.0
19.19,116.007,99.0,2059.375,32768.0
19.555,104.089,99.0,2067.53515625,32768.0
19.916,96.094,99.0,2079.53125,32768.0
20.275,95.041,100.0,2091.546875,32768.0
