primitive,log_size,size,gpu_ms,cpu_ms,speedup,gpu_device,cpu_threads,backend,solo
msm,16,65536,15.358,27.279,1.776,gfx1201,128,hip,true
msm,18,262144,38.993,97.805,2.508,gfx1201,128,hip,true
msm,20,1048576,108.908,360.074,3.306,gfx1201,128,hip,true
ntt,16,65536,0.853,6.719,7.876,gfx1201,128,hip,true
ntt,18,262144,4.193,12.854,3.065,gfx1201,128,hip,true
ntt,20,1048576,25.397,42.742,1.683,gfx1201,128,hip,true
msm,22,4194304,353.924,1469.497,4.152,gfx1201,128,hip,true
ntt,20,1048576,23.235,40.463,1.741,gfx1201,128,hip,true
ntt,21,2097152,49.387,78.713,1.594,gfx1201,128,hip,true
ntt,22,4194304,95.016,157.689,1.660,gfx1201,128,hip,true
ntt,23,8388608,167.175,297.517,1.780,gfx1201,128,hip,true
ntt,24,16777216,350.036,604.427,1.727,gfx1201,128,hip,true
msm,23,8388608,624.025,2891.569,4.634,gfx1201,128,hip,true
msm,24,16777216,1177.012,6102.864,5.185,gfx1201,128,hip,true
