elapsed_s,power_w,gpu_use_pct,vram_used_mb,vram_total_mb
0.0,53.067,100.0,1977.53515625,32768.0
0.359,56.094,100.0,1989.53515625,32768.0
0.719,76.088,100.0,1993.76953125,32768.0
1.093,85.092,100.0,2001.734375,32768.0
1.454,94.069,100.0,2013.78515625,32768.0
1.865,103.055,99.0,2025.76953125,32768.0
2.229,120.003,100.0,2033.7578125,32768.0
2.704,128.04,100.0,2045.76953125,32768.0
3.09,132.021,99.0,2053.7421875,32768.0
3.458,114.093,100.0,2065.953125,32768.0
3.815,101.084,100.0,2074.13671875,32768.0
4.176,93.016,100.0,2086.13671875,32768.0
4.54,88.023,100.0,2098.13671875,32768.0
4.902,81.048,100.0,2110.13671875,32768.0
5.261,81.014,100.0,2122.13671875,32768.0
5.619,77.096,100.0,2134.125,32768.0
5.978,76.047,100.0,2142.109375,32768.0
6.345,77.046,100.0,2154.1015625,32768.0
6.705,73.04,100.0,2166.09765625,32768.0
7.067,87.046,100.0,2178.0859375,32768.0
7.432,99.044,100.0,2150.06640625,32768.0
7.798,107.03,99.0,1718.12890625,32768.0
8.17,114.007,99.0,1730.1328125,32768.0
8.54,115.077,99.0,1742.125,32768.0
8.932,127.064,100.0,1763.734375,32768.0
9.425,133.087,100.0,1775.7578125,32768.0
9.833,137.084,100.0,1787.7578125,32768.0
10.294,135.035,100.0,1799.7578125,32768.0
10.661,131.006,100.0,1811.7578125,32768.0
11.063,136.012,99.0,1823.7421875,32768.0
11.498,139.061,99.0,1839.75,32768.0
11.902,141.016,99.0,1847.7421875,32768.0
12.381,142.016,99.0,1863.7421875,32768.0
12.837,142.037,99.0,1875.7421875,32768.0
13.229,142.051,99.0,1891.7421875,32768.0
13.716,142.062,99.0,1907.73046875,32768.0
14.188,142.089,99.0,1915.734375,32768.0
14.576,142.029,99.0,1931.73046875,32768.0
14.966,140.094,99.0,1943.73046875,32768.0
15.354,138.068,99.0,1955.73046875,32768.0
15.719,120.055,99.0,1967.6953125,32768.0
16.082,110.058,100.0,1983.859375,32768.0
16.449,100.061,100.0,1991.92578125,32768.0
16.807,92.065,100.0,2003.9765625,32768.0
17.165,87.027,100.0,2016.12109375,32768.0
17.529,80.049,100.0,2028.11328125,32768.0
17.889,75.04,100.0,2040.11328125,32768.0
18.252,72.026,100.0,2052.1171875,32768.0
18.615,72.086,100.0,2060.12890625,32768.0
18.982,74.039,100.0,2068.1328125,32768.0
19.347,74.023,100.0,2080.1328125,32768.0
19.712,74.073,100.0,2092.12890625,32768.0
20.075,72.075,100.0,2104.12890625,32768.0
20.435,69.075,100.0,2116.12890625,32768.0
