elapsed_s,power_w,gpu_use_pct,vram_used_mb,vram_total_mb
0.0,73.07,99.0,2186.96484375,32768.0
0.373,74.028,99.0,2198.96484375,32768.0
0.739,75.059,99.0,2206.9609375,32768.0
1.113,85.066,99.0,2194.01171875,32768.0
1.495,92.097,99.0,2201.99609375,32768.0
1.894,97.024,99.0,2213.984375,32768.0
2.275,99.056,99.0,1825.99609375,32768.0
2.676,94.04,99.0,1838.04296875,32768.0
3.041,88.066,99.0,1846.04296875,32768.0
3.405,85.075,99.0,1854.03515625,32768.0
3.769,82.042,99.0,1866.03515625,32768.0
4.128,79.076,99.0,1874.03125,32768.0
4.49,78.091,99.0,1882.04296875,32768.0
4.854,77.083,99.0,1894.02734375,32768.0
5.216,77.02,99.0,1883.453125,32768.0
5.578,77.066,99.0,1951.41015625,32768.0
5.944,78.065,100.0,1959.40234375,32768.0
6.305,77.094,100.0,1971.39453125,32768.0
6.673,77.085,100.0,1977.4140625,32768.0
7.038,76.045,100.0,1985.40234375,32768.0
7.4,76.008,100.0,1997.3984375,32768.0
7.766,76.086,99.0,2003.4140625,32768.0
8.128,75.098,100.0,2015.3984375,32768.0
8.508,79.074,100.0,2008.84375,32768.0
8.884,80.011,99.0,2020.8359375,32768.0
9.244,78.01,100.0,2028.83203125,32768.0
9.605,78.014,100.0,2036.81640625,32768.0
9.964,77.09,100.0,2052.84375,32768.0
10.326,78.045,100.0,2069.01171875,32768.0
10.686,80.023,100.0,2083.97265625,32768.0
11.062,79.002,100.0,2091.96484375,32768.0
11.423,77.039,100.0,2099.96875,32768.0
11.784,75.093,100.0,2106.58203125,32768.0
12.146,75.036,99.0,2110.5625,32768.0
12.505,74.097,99.0,2076.109375,32768.0
12.868,74.02,100.0,2084.1015625,32768.0
13.23,73.066,100.0,2092.1015625,32768.0
13.59,92.006,100.0,2102.234375,32768.0
14.057,111.013,100.0,2114.2265625,32768.0
14.475,124.087,99.0,2126.1875,32768.0
14.977,132.039,99.0,2142.2421875,32768.0
15.441,136.088,100.0,2206.15625,32768.0
15.924,140.007,99.0,2218.18359375,32768.0
16.338,140.075,100.0,2236.45703125,32768.0
16.799,141.091,98.0,2253.57421875,32768.0
17.26,143.081,98.0,1805.5859375,32768.0
17.681,144.028,99.0,1817.625,32768.0
18.159,144.042,99.0,1829.66015625,32768.0
18.632,144.059,99.0,1833.70703125,32768.0
19.054,144.048,99.0,1845.7265625,32768.0
19.459,144.033,99.0,1845.71484375,32768.0
19.881,144.07,99.0,1857.70703125,32768.0
20.359,144.056,99.0,1871.1640625,32768.0
20.829,144.095,99.0,1859.9453125,32768.0
21.239,145.011,99.0,1888.9609375,32768.0
21.706,144.077,99.0,1907.8671875,32768.0
22.173,144.056,99.0,1923.18359375,32768.0
22.632,142.016,99.0,1935.21484375,32768.0
23.001,133.055,100.0,1947.2734375,32768.0
23.363,121.098,100.0,1959.2734375,32768.0
23.735,120.094,100.0,1971.2734375,32768.0
24.101,112.05,100.0,1979.71875,32768.0
24.464,107.068,100.0,1991.7265625,32768.0
24.836,104.059,100.0,1997.6953125,32768.0
25.198,100.011,100.0,2005.69921875,32768.0
25.567,105.095,100.0,2017.70703125,32768.0
25.968,114.054,100.0,2027.703125,32768.0
26.369,120.095,100.0,2039.69921875,32768.0
26.767,125.043,100.0,2023.0703125,32768.0
27.166,117.001,100.0,2031.00390625,32768.0
27.534,110.053,100.0,2023.7421875,32768.0
27.9,106.009,100.0,2031.60546875,32768.0
28.272,102.098,100.0,2043.60546875,32768.0
28.64,97.095,100.0,2055.61328125,32768.0
29.022,95.067,100.0,2067.65625,32768.0
29.395,95.097,100.0,2075.65625,32768.0
29.759,96.013,100.0,2087.65625,32768.0
30.134,94.099,100.0,2117.35546875,32768.0
30.495,100.095,100.0,2130.89453125,32768.0
30.864,111.049,100.0,2151.8671875,32768.0
31.257,118.035,99.0,2163.86328125,32768.0
31.657,124.004,99.0,2175.84765625,32768.0
32.058,119.029,92.0,2191.984375,32768.0
32.434,121.03,95.0,1560.0546875,32768.0
32.838,123.043,96.0,1572.05078125,32768.0
33.238,125.004,97.0,1584.046875,32768.0
33.639,126.057,98.0,1596.05078125,32768.0
34.046,112.092,98.0,1604.046875,32768.0
34.416,106.04,99.0,1610.48046875,32768.0
34.784,103.033,99.0,1622.4765625,32768.0
35.165,102.04,99.0,1627.7109375,32768.0
35.526,100.065,100.0,1639.7265625,32768.0
35.888,99.034,100.0,1648.94921875,32768.0
36.258,98.054,100.0,1660.94921875,32768.0
