max_mcycle,rayon_threads,wall_seconds,peak_rss_kb,proof_bytes,mode,timestamp
1,1,2413.448,9589300,562812,full,2026-06-09T06:19:09Z
1,2,1422.772,9588104,562812,full,2026-06-09T06:59:23Z
1,4,643.508,9588108,562812,full,2026-06-09T07:23:06Z
1,8,335.696,9587180,562812,full,2026-06-09T07:33:49Z
1,16,191.062,9587260,562812,full,2026-06-09T07:39:25Z
1,32,127.664,9589612,562812,full,2026-06-09T07:42:36Z
1,64,122.136,9594744,562812,full,2026-06-09T07:44:44Z
10,1,2273.893,9588736,562812,full,2026-06-09T07:46:49Z
10,2,1060.697,9588776,562812,full,2026-06-09T08:24:43Z
10,4,546.722,9587696,562812,full,2026-06-09T08:42:23Z
10,8,292.874,9588796,562812,full,2026-06-09T08:51:30Z
10,16,153.336,9588808,562812,full,2026-06-09T08:56:23Z
10,32,96.590,9588424,562812,full,2026-06-09T08:58:56Z
10,64,96.792,9594388,562812,full,2026-06-09T09:00:33Z
100,1,2368.956,9593128,806878,full,2026-06-09T09:02:10Z
100,2,1376.935,9593420,806878,full,2026-06-09T09:41:39Z
100,4,533.663,9589120,562812,full,2026-06-09T10:04:36Z
100,8,287.840,9587272,562812,full,2026-06-09T10:13:29Z
100,16,159.600,9588256,562812,full,2026-06-09T10:18:17Z
100,32,112.939,9587856,562812,full,2026-06-09T10:20:57Z
100,64,112.402,9594000,562812,full,2026-06-09T10:22:50Z
1000,1,4686.310,9603984,1393314,full,2026-06-09T10:24:45Z
1000,2,2397.290,9604544,1393314,full,2026-06-09T11:42:51Z
1000,4,1237.113,9604560,1393314,full,2026-06-09T12:22:48Z
1000,8,725.232,9605544,1393314,full,2026-06-09T12:43:25Z
1000,16,389.690,9604180,1393314,full,2026-06-09T12:55:31Z
1000,32,257.318,9605536,1393314,full,2026-06-09T13:02:00Z
1000,64,253.144,9612476,1393314,full,2026-06-09T13:06:18Z
