config,accelerator,witness_source,rep,witness_s,prove_s,total_s,solo,loadavg,gpu_pct,image_digest,input_sha256,proof_sha256,timestamp
rocm-witness,rocm,generate,0,1.701394290,11.083878162,11.094721481,true,1.98,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,f15bb57753539e9cac3ad6e1ba1dd6abaa0232a12732772bdb04ae68de6b521e,2026-07-29T10:42:11Z
cpu-witness,cpu,generate,0,1.715957617,5.711324165,5.722827753,true,1.31,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,8981580ac08af918a51344f55eafa03652b56ba427ff11ba69e6ac05f44feaaf,2026-07-29T10:42:37Z
rocm-replay,rocm,replay,0,0.914329173,10.341618699,10.352852791,true,1.29,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,38de210b5406d3195d93f4f5d06aba725054502a38a84f7a9d0798c16bf57cf4,2026-07-29T10:42:48Z
rocm-witness,rocm,generate,1,1.686187115,11.075552957,11.086713210,true,0.95,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,ad167a16b9da0c7b9282631a6cb3b41f17ac6e79a26fcb3ad6e33b2757a11fac,2026-07-29T10:43:19Z
cpu-witness,cpu,generate,1,1.694674315,5.725442338,5.735955768,true,0.80,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,1278b4c358ea695240e6d4a45a8ad6f82a9cc7c5ff6a154d3189603949e10158,2026-07-29T10:43:45Z
rocm-replay,rocm,replay,1,0.889517422,10.301746879,10.313159116,true,2.36,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,e4de1a7a5b37518828dbb93064f3665c67fa2369e7b521127726d543f26c9298,2026-07-29T10:44:16Z
rocm-witness,rocm,generate,2,1.699999614,11.091786917,11.102247048,true,1.54,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,e7e3379ac150e18b3049f5cbf1aa6aa489f5a1395f74e41f6474ea310183717f,2026-07-29T10:44:47Z
cpu-witness,cpu,generate,2,1.698304384,5.752669559,5.763941802,true,1.04,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,4478cb0449eec81557b6e288c800a56dd41abb4bb6d8fde84a9d2539fb7acde9,2026-07-29T10:45:14Z
rocm-replay,rocm,replay,2,0.904631442,10.327678762,10.339840313,true,0.88,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,9655d9c63f3513da1177579e4b2de2fc5cd7c175a7a7f4f97943fec4aab8ad77,2026-07-29T10:45:44Z
rocm-witness,rocm,generate,3,1.693262066,11.099872193,11.109915652,true,0.80,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,af591c5f68415146b50d5630e79ddc7940e37132aa2de490cfe345b3367e4270,2026-07-29T10:46:16Z
cpu-witness,cpu,generate,3,1.699412413,5.770323353,5.781394509,true,0.60,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,1984d39ad1c017d36aebd0ee4eec497dcfea13c7eb387f5b9a5f2e03c44e66a8,2026-07-29T10:46:42Z
rocm-replay,rocm,replay,3,0.915565622,10.354552169,10.365972400,true,2.11,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,365baabcc400766153c65e652287875ce50751e0eeffb2ca78a68ebfde28205d,2026-07-29T10:47:13Z
