knob,value,rep,gnark_prove_ms,total_s,solo,timestamp
none,0,1,3526.351713,5.946,0,2026-07-31T02:20:27Z
GOMAXPROCS,4,1,11941.943769,14.476,0,2026-07-31T02:20:41Z
RAYON_NUM_THREADS,4,1,3527.424807,5.940,0,2026-07-31T02:20:47Z
GOMAXPROCS,2,1,22013.379482,24.686,0,2026-07-31T02:21:12Z
GOMAXPROCS,2,2,21947.023085,24.659,0,2026-07-31T02:21:37Z
GOMAXPROCS,2,3,22009.229999,24.690,0,2026-07-31T02:22:01Z
GOMAXPROCS,4,1,11904.205611,14.459,0,2026-07-31T02:22:16Z
GOMAXPROCS,4,2,11876.854186,14.449,0,2026-07-31T02:22:30Z
GOMAXPROCS,4,3,11873.915925,14.430,0,2026-07-31T02:22:45Z
GOMAXPROCS,8,1,6655.53562,9.114,0,2026-07-31T02:22:54Z
GOMAXPROCS,8,2,6645.350625,9.122,0,2026-07-31T02:23:03Z
GOMAXPROCS,8,3,6640.723125,9.105,0,2026-07-31T02:23:12Z
GOMAXPROCS,12,1,4756.732841,7.206,0,2026-07-31T02:23:20Z
GOMAXPROCS,12,2,4798.100466,7.288,0,2026-07-31T02:23:27Z
GOMAXPROCS,12,3,4792.959833,7.293,0,2026-07-31T02:23:34Z
GOMAXPROCS,16,1,3805.69938,6.273,0,2026-07-31T02:23:41Z
GOMAXPROCS,16,2,3899.41672,6.330,0,2026-07-31T02:23:47Z
GOMAXPROCS,16,3,3824.556731,6.257,0,2026-07-31T02:23:53Z
GOMAXPROCS,24,1,3689.22821,6.148,0,2026-07-31T02:24:00Z
GOMAXPROCS,24,2,3711.009125,6.114,1,2026-07-31T02:24:06Z
GOMAXPROCS,24,3,3661.590418,6.080,1,2026-07-31T02:24:12Z
GOMAXPROCS,32,1,3585.909028,6.014,1,2026-07-31T02:24:18Z
GOMAXPROCS,32,2,3476.653151,5.893,1,2026-07-31T02:24:24Z
GOMAXPROCS,32,3,3534.045535,5.969,1,2026-07-31T02:24:30Z
