config,accelerator,witness_source,rep,witness_s,prove_s,total_s,runtime_max_gpu_pct,runtime_max_loadavg,runtime_min_sclk_mhz,runtime_max_temp_c,runtime_max_power_w,runtime_samples,runtime_lock_stolen,solo,loadavg,gpu_pct,other_gpu_pct,verify,image_digest,input_sha256,proof_sha256,timestamp
rocm-witness,rocm,generate,0,1.669047291,10.938063176,10.949479709,99,0.39,644,46,62.073,6,false,true,0.28,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,933a18e3a86afa8caa3260aeaaf95505b00ebb3ab616b0c3f2dc2b5af9b18545,2026-08-06T07:22:44Z
cpu-witness,cpu,generate,0,1.683096911,5.657117591,5.668374252,1,0.34,631,37,114.013,3,false,true,0.28,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,65e3e4735a25bfc8d8e6602c1a4a3bb9839c8fc4323f1c6df70bf180e7ee6714,2026-08-06T07:23:10Z
rocm-replay,rocm,replay,0,0.870232284,10.195265734,10.204607429,95,0.88,642,65,72.053,5,false,true,0.34,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,e9d105bd1414753eeb122dab20aeb904d40f7a38cb7b8e42b0654d1d30d2652b,2026-08-06T07:23:21Z
rocm-witness,rocm,generate,1,1.691330448,10.991388349,11.003756795,99,0.79,646,50,62.01,6,false,true,0.75,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,b8170ceaf32f1a147c69610b093f9ae02e8e4d6bb293ba3692cb21aea8621e78,2026-08-06T07:23:53Z
cpu-witness,cpu,generate,1,1.695980677,5.675730737,5.686436651,1,3.16,643,40,114.02,3,false,true,0.56,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,944403a7afdc4ad9375378bb04e74cbc8c84f5a3a5a40cdb699a6570f19a07d5,2026-08-06T07:24:19Z
rocm-replay,rocm,replay,1,0.876415049,10.178041304,10.190123740,95,2.34,631,65,71.063,5,false,true,2.34,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,f0e2bf819301e309f7ea03167aee46c40b62241024f041621e2fb56d5444c81b,2026-08-06T07:24:50Z
rocm-witness,rocm,generate,2,1.709064760,11.021876973,11.032872412,99,1.79,638,51,60.093,6,false,true,1.79,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,0c080cfbea117247f9e81586b8fcebf3f98d51c2ed04f5131e6e233b50b51922,2026-08-06T07:25:21Z
cpu-witness,cpu,generate,2,1.703563408,5.705001566,5.716154231,1,1.49,637,43,114.059,3,false,true,1.49,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,ddeff7aa6f6253510039f2d88f0ec53fe21ee61b4c1add129e15f3580959c550,2026-08-06T07:25:48Z
rocm-replay,rocm,replay,2,0.860566319,10.082723902,10.092719649,96,2.74,646,55,73.015,5,false,true,2.74,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,3eb59ce92c4de9bb52aa24053d3b56aa7b04754a101d802d39262b8722ce3c85,2026-08-06T07:26:18Z
rocm-witness,rocm,generate,3,1.710600743,10.924609228,10.935457208,99,1.83,646,55,71.035,6,false,true,1.83,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,772bb694ab50cf3840c6e967d37db6bf2ece720728a3bd117096a0f643b374c3,2026-08-06T07:26:50Z
cpu-witness,cpu,generate,3,1.702105052,5.757314694,5.766980167,1,1.52,639,45,111.028,3,false,true,1.48,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,0eba322e80bb5c7628e48c2d419b4eda17474925738123a068f78838bad22760,2026-08-06T07:27:16Z
rocm-replay,rocm,replay,3,0.851559055,10.022938101,10.033813143,96,1.19,641,70,75.022,5,false,true,1.19,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,93c23b7e84162b36d5e060fc6141e00fb61e8cad027087554f1cff3ade90cf40,2026-08-06T07:27:47Z
