config,accelerator,witness_source,rep,witness_s,prove_s,total_s,runtime_max_gpu_pct,runtime_max_loadavg,runtime_min_sclk_mhz,runtime_max_temp_c,runtime_max_power_w,runtime_samples,runtime_lock_stolen,solo,loadavg,gpu_pct,other_gpu_pct,verify,image_digest,input_sha256,proof_sha256,timestamp
rocm-witness,rocm,generate,0,1.691176899,11.981973318,11.992639266,98,0.57,652,50,71.098,6,false,true,0.49,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,2981e8ed1606476e2c32aa2881ac29aae6efdd68dd68288d4576fd69aa45b31a,2026-08-06T07:36:45Z
cpu-witness,cpu,generate,0,1.697177461,5.703299030,5.712667154,1,0.73,640,44,115.026,3,false,true,0.54,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,d7113cdbed965b15fdf932ba7fa81c2cea93233d723b2b9cb88ecab36f9b44ca,2026-08-06T07:37:12Z
rocm-replay,rocm,replay,0,0.850686952,11.184653688,11.195583323,99,0.79,644,63,75.01,6,false,true,0.75,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,e8a57091dd81827295b5c5479e628dc6cd1ea8ded6a3842059e626e0e0ab487f,2026-08-06T07:37:23Z
rocm-witness,rocm,generate,1,1.708056781,12.006302379,12.016016615,98,0.63,646,53,77.091,6,false,true,0.57,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,cb57ebd474de7a7c98599db4295326a0578878ede9a927a09ac73b198da30f42,2026-08-06T07:37:56Z
cpu-witness,cpu,generate,1,1.703740662,5.804196902,5.813573662,1,1.04,634,47,111.086,3,false,true,0.52,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,32c11ccc12a7c100d74c7b513858d7700bb6117c5aa53f8d54cf63354d6ccdb2,2026-08-06T07:38:22Z
rocm-replay,rocm,replay,1,0.881209799,11.213060349,11.223990475,99,1.77,652,68,72.007,6,false,true,1.75,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,4688ed41f3cfcff4b5342b29ee097bf96527ec85caf0aa4a9a9b015e002539c3,2026-08-06T07:38:54Z
rocm-witness,rocm,generate,2,1.716074492,11.986299044,11.997168116,98,1.29,637,56,73.059,6,false,true,1.29,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,5a48639cea3c0d624e0314be837c79b688166cca30802ef25490263c29253e67,2026-08-06T07:39:27Z
cpu-witness,cpu,generate,2,1.724893582,5.781410105,5.790888537,1,3.65,639,49,111.046,3,false,true,1.09,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,2bb3768c9b3fad78a8b3da9915807fe510fc28647e557e3847b6938a4c226621,2026-08-06T07:39:53Z
rocm-replay,rocm,replay,2,0.864217937,11.204126894,11.213658375,99,2.68,641,65,72.042,6,false,true,2.68,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,e96c5323a7fa3e6eef11827c488b9fcb7ddecde3218ce3292429cef97d21ccdd,2026-08-06T07:40:25Z
rocm-witness,rocm,generate,3,1.723996101,12.055302997,12.066147362,98,1.92,632,62,78.064,6,false,true,1.92,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,0949dd2f5ba6e3b95b4233c6468169862e7232ec2ffa49ec79ae3ac900b3afb4,2026-08-06T07:40:58Z
cpu-witness,cpu,generate,3,1.707739984,5.763089210,5.772044376,1,3.82,642,50,110.014,3,false,true,1.37,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,5bf7d048e77335c967f7e986ae3231b317ccc3f119c6d66208514eb936b2eecd,2026-08-06T07:41:24Z
rocm-replay,rocm,replay,3,0.869607036,11.204706415,11.216144798,99,3.02,641,76,71.069,6,false,true,3.02,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,5246a3ec25570eb11e889ffe60d8a288b5ea7479c68c7e8a908ab1a210557d40,2026-08-06T07:41:56Z
