config,accelerator,witness_source,rep,witness_s,prove_s,total_s,runtime_max_gpu_pct,runtime_max_loadavg,runtime_min_sclk_mhz,runtime_max_temp_c,runtime_max_power_w,runtime_samples,runtime_lock_stolen,solo,loadavg,gpu_pct,other_gpu_pct,verify,image_digest,input_sha256,proof_sha256,timestamp
rocm-witness,rocm,generate,0,1.692686913,7.673522237,7.684472972,77,0.40,644,63,77.058,4,false,true,0.20,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,db36dde70641ed087ea25722e5a0d6832675e0c61a13670376e04d6f384c8093,2026-08-06T08:57:44Z
cpu-witness,cpu,generate,0,1.690879429,5.708395008,5.719094379,1,0.34,633,41,113.073,3,false,true,0.28,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,61b7195c73ccbfb949821ee4b1feac9fbc0803676f83684e0158eeb839ba2318,2026-08-06T08:58:11Z
rocm-replay,rocm,replay,0,0.864373330,6.799035621,6.809091250,90,0.39,656,57,92.021,4,false,true,0.34,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,19313ce34bbf61efaf08c55b308451a4116952e54752fae22fd3c85e10454a5b,2026-08-06T08:58:18Z
rocm-witness,rocm,generate,1,1.685671922,7.675967574,7.686564782,77,0.51,637,66,77.033,4,false,true,0.46,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,06ec41f0f73d94d9fcc77ea1045eac585f53b804858642f79199d84b5d2fa314,2026-08-06T08:58:46Z
cpu-witness,cpu,generate,1,1.693417981,5.649609310,5.660841435,1,0.64,632,43,113.066,3,false,true,0.52,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,2d71e536d46ede4d55d28cef2e9677d7d4331495cfd295b2b995a9983fe6f58f,2026-08-06T08:59:12Z
rocm-replay,rocm,replay,1,0.863037703,6.851770643,6.861872438,89,0.68,645,65,87.015,4,false,true,0.65,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,b219c0b8fd3726376244b6484f3923638c7c65ead8bd57d3fe6960b0e64bd1a9,2026-08-06T08:59:40Z
rocm-witness,rocm,generate,2,1.738227936,7.726870354,7.738296234,77,0.77,640,67,78.09,4,false,true,0.49,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,23bc2af3decc74373c30978e5db0f1303d11314cf71ecff181ff0cdcb8462737,2026-08-06T09:00:08Z
cpu-witness,cpu,generate,2,1.714017388,5.728169721,5.739041448,1,3.08,640,44,112.028,3,false,true,0.56,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,58e0aa86b33e65106bfe46193d8b9e53a10dc51da2312d6aae8ac01d899105c3,2026-08-06T09:00:35Z
rocm-replay,rocm,replay,2,0.872916539,6.891508355,6.902910309,89,2.20,647,67,93.093,4,false,true,2.20,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,fd8745b79833c9144ac22a864e34a88dc6446f3770f9aea7c90a453fc7d8bca2,2026-08-06T09:01:02Z
rocm-witness,rocm,generate,3,1.719739294,7.712532771,7.723975122,76,2.26,647,64,75.027,4,false,true,1.67,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,702769c1319e540d79af8ff8d0d24d01d1fcdbf0c8a9f71f34f09d9cbd6c0f47,2026-08-06T09:01:30Z
cpu-witness,cpu,generate,3,1.694400311,5.714020853,5.724339107,1,1.54,635,45,111.082,3,false,true,1.54,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,5a4e4ebf1c7117c48a1493b6817ef360e91c1a5ebfe1ea7a1f7d064e3278fe95,2026-08-06T09:01:57Z
rocm-replay,rocm,replay,3,0.869707856,6.874092384,6.885833236,89,1.39,639,69,87.089,4,false,true,1.07,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,76a4b33032dbae744d5072179efbeac7502cf59ea6454865bba969765dc197ec,2026-08-06T09:02:24Z
