config,accelerator,witness_source,rep,witness_s,prove_s,total_s,runtime_max_gpu_pct,runtime_max_loadavg,runtime_min_sclk_mhz,runtime_max_temp_c,runtime_max_power_w,runtime_samples,runtime_lock_stolen,solo,loadavg,gpu_pct,other_gpu_pct,verify,image_digest,input_sha256,proof_sha256,timestamp
rocm-witness,rocm,generate,0,1.676692489,7.382716962,7.398135512,83,0.37,645,61,84.041,4,false,true,0.23,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,824f1a359680dd60a731e49d726e2298d73251bb06e2f23d4b927c08bd67f0fa,2026-08-06T09:13:03Z
cpu-witness,cpu,generate,0,1.688815743,5.713854009,5.724887209,1,2.84,636,39,113.019,3,false,true,0.30,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,f54538c71b511c937400a7fb9b953dea3bf848696b691923e70d25f82e238724,2026-08-06T09:13:29Z
rocm-replay,rocm,replay,0,0.866520554,6.570797004,6.582370031,92,2.84,648,53,75.022,4,false,true,2.84,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,1867495c33fb9c45c5672ff24fee255b6ff99f5825a831f69a1066818dc39a6a,2026-08-06T09:13:37Z
rocm-witness,rocm,generate,1,1.710017083,7.359508100,7.370574934,77,2.07,640,64,83.077,4,false,true,2.07,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,76a60945f30900d15000a4f1e5db8319f6f11c155f0733a38c37cb420cd6d585,2026-08-06T09:14:04Z
cpu-witness,cpu,generate,1,1.689008215,5.747400912,5.756690027,1,2.97,639,41,112.064,3,false,true,1.49,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,e4d3b48a7137455cbda131b0d5a6b205ccf9e6f955c03260fa713a0e6eb5a3de,2026-08-06T09:14:31Z
rocm-replay,rocm,replay,1,0.868369907,6.610846794,6.621691679,92,2.43,649,64,77.084,4,false,true,2.43,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,90a96dc211476f6db9911004400070bb9fb686839e7a60238bf83b8c0229cc45,2026-08-06T09:14:58Z
rocm-witness,rocm,generate,2,1.703392606,7.407811686,7.419426922,83,1.69,639,67,83.089,4,false,true,1.69,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,8e8821966812081f528ad17fd74a21cc55c03cc40267f368a57727cc92cc264f,2026-08-06T09:15:26Z
cpu-witness,cpu,generate,2,1.699960743,5.671624374,5.682954543,1,1.17,644,42,112.012,3,false,true,1.17,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,5c1aafa7116839851b54cf0457cefe0a5d5b9a51ef6c8a91c7060521b6a2fe2b,2026-08-06T09:15:52Z
rocm-replay,rocm,replay,2,0.874024026,6.565653897,6.577584588,92,1.00,651,67,80.055,4,false,true,1.00,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,3e31f907c48a55dfd2750d8aa01b74966f481203618562aef405c0d4572578f8,2026-08-06T09:16:20Z
rocm-witness,rocm,generate,3,1.698970748,7.303486829,7.319481223,84,0.87,644,68,87.02,4,false,true,0.86,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,0e29e605115bbe124316afb8e93b4f204f087bb446363cdc330b0ea0893221a9,2026-08-06T09:16:47Z
cpu-witness,cpu,generate,3,1.701847817,5.718633892,5.729851820,1,0.88,643,43,110.086,3,false,true,0.88,1,na,skipped,sha256:91f515e2995be1cb61b4ae458fa6f998c724db3324af1813e1acaff54466e4ef,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,db60a7598ebfe4346895f17262c4af78a57b4c357077379e36a95db971c87bd6,2026-08-06T09:17:14Z
