phase,window_max,work_units,rep,witness_s,prove_s,total_s,gnark_prove_ms,solo,loadavg,gpu_pct,image_digest,input_sha256,proof_sha256,timestamp
coarse,8,7680,1,2.270674046,10.497257789,10.518141472,7682.837531,true,0.01,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,49c4687ea9ce0f472f7799816a633f8097415f1296597ccf3f6fdd943179b893,2026-07-30T15:07:38Z
coarse,8,7680,2,1.931152960,8.198045272,8.208947251,5747.602224,true,0.34,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,254efed94de4092e30d58a6f0bcd4fbcafce5986b6d7fe4c2910183c247e13fb,2026-07-30T15:07:56Z
coarse,8,10240,1,1.679748788,7.371105129,7.381279113,5172.906518,true,0.44,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,582d552fcd912872dc68be9f691f7832615a114bbeb5add001d00d3391288ee3,2026-07-30T15:08:14Z
coarse,8,10240,2,1.691609997,7.431124761,7.441919790,5228.714681,true,0.41,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,592df46291a963c992381a75325a3eca37cd754437c4666db61a8940b82f353c,2026-07-30T15:08:32Z
coarse,8,15360,1,1.702211303,7.638681486,7.649500228,5413.926672,true,0.69,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,3ef0b408f06a7a7a02510362f0d504171f4fc668531b68a4643323860eb57aa5,2026-07-30T15:08:49Z
coarse,8,15360,2,1.687334237,7.588655810,7.599738959,5381.494066,true,0.69,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,dcbed0b92f65af43b9b5e29af3a75bba1fca831167116c65880db42d3928097d,2026-07-30T15:09:07Z
coarse,9,7680,1,1.686916062,7.977350554,7.988197600,5761.03483,true,0.61,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,151c0a2079695363a31499ed0a4ee0e01e58204aac5e5fe120225dc6a75e5ca5,2026-07-30T15:09:26Z
coarse,9,7680,2,1.675908675,7.989666416,8.000262171,5793.171901,true,0.56,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,82572f190c348971324922f6d3a89b213fb6613ff6facf8dfc86ed43ec00c9e9,2026-07-30T15:09:44Z
coarse,9,10240,1,1.701164049,7.528609848,7.540017406,5302.950308,true,0.51,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,89653b5671a67cca9e8b4daba7a77a93fe7c62f295ca08e864aee4a188ff0b6c,2026-07-30T15:10:02Z
coarse,9,10240,2,1.685237494,7.501177172,7.511823021,5284.916501,true,0.68,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,dbecae7c6acdcf70deae64f36474aeb4ce079f02e562e3feb0120392ebd6d4de,2026-07-30T15:10:20Z
coarse,9,15360,1,1.674655124,8.569501891,8.582647660,6351.086559,true,0.62,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,9c6726113e584cf70706b48dbdfb95918bb4ffa1100d9a1b1f165716532b66be,2026-07-30T15:10:39Z
coarse,9,15360,2,1.701592171,8.667871078,8.679292391,6431.442447,true,0.55,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,74e1023b3a5578575d761a73ec2449eddaf5044e7d71d1a91f91069c0937cb5d,2026-07-30T15:10:57Z
coarse,10,7680,1,1.686653760,8.706199181,8.716770170,6486.577967,true,0.65,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,979ad0854aa8d1b072b231c9f61e357e2a92bd1acfea73d1d6b9b0163adc90fc,2026-07-30T15:11:17Z
coarse,10,7680,2,1.695045962,8.684651663,8.695984762,6453.111934,true,0.66,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,de80f3c9d1f8eec6b876bed80fa0f21f18328394024d5e6c5faf680646bd234e,2026-07-30T15:11:36Z
coarse,10,10240,1,1.710406104,8.280421609,8.291957938,6034.59478,true,0.60,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,da2e3e5a0cfd8250ef87daea2f892fe1b8fb1cb8422abd824c7d3bab8e5e3eb5,2026-07-30T15:11:54Z
coarse,10,10240,2,1.696087596,8.237912453,8.248604237,6016.885652,true,0.54,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,57beaadad830f80576c2809727db21c80a69049b00e675a393aecb32d47ebfde,2026-07-30T15:12:13Z
coarse,10,15360,1,1.687377779,9.741418433,9.752464242,7513.169777,true,0.70,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,77152e166d6791585ff3d811f4c48c671290f7af2eabd6b62d3eb424342acef3,2026-07-30T15:12:33Z
coarse,10,15360,2,1.702197015,8.775138815,8.786967863,6542.469766,true,0.63,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,21952f855e2173e9fb94e455cef2961e282276fa669d8f3fefed506b62cf7858,2026-07-30T15:12:52Z
confirm,8,10240,1,1.708008366,7.466271126,7.477132329,5228.267692,true,0.65,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,581561b87ed0529e3777bf0b9003e576b9cfed61a858e722f9ef84e3c0c873db,2026-07-30T15:13:10Z
confirm,8,10240,2,1.700025853,7.430992553,7.441391107,5195.227738,true,0.59,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,a03b25ed08a29b3f0b28139c07e74da622e375e20167d2353200e04d5d305795,2026-07-30T15:13:27Z
confirm,8,10240,3,1.709977250,7.481692613,7.492388606,5229.415966,true,0.53,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,2afb1b7e12875cc0efd51ec546408d574232fd0d9298cd87786db6fdd48b0fb8,2026-07-30T15:13:45Z
confirm,9,10240,1,1.700768165,7.517155653,7.529284233,5277.560564,true,0.51,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,ad97bb2b9cfc28b505e18803076bd5fd66d3fb24648312440728a35142a0283e,2026-07-30T15:14:03Z
