backend,batch,seq_len,fwd_ms,tokens_per_s,device,cpu_threads
cpu,1,8,0.012,659359.9,cpu-zen5,32
cpu,1,32,0.02,1564945.1,cpu-zen5,32
cpu,1,128,0.102,1254274.7,cpu-zen5,32
cpu,1,512,0.22,2322490.3,cpu-zen5,32
cpu,8,8,0.038,1667882.7,cpu-zen5,32
cpu,8,32,0.099,2590962.0,cpu-zen5,32
cpu,8,128,0.217,4721134.4,cpu-zen5,32
cpu,8,512,0.416,9844970.7,cpu-zen5,32
cpu,32,8,0.133,1923958.3,cpu-zen5,32
cpu,32,32,0.193,5292481.9,cpu-zen5,32
cpu,32,128,0.318,12892057.7,cpu-zen5,32
cpu,32,512,1.176,13928112.0,cpu-zen5,32
rocm,1,8,0.129,62115.7,gfx1151,
rocm,1,32,0.133,240312.4,gfx1151,
rocm,1,128,0.135,946437.6,gfx1151,
rocm,1,512,0.179,2853528.1,gfx1151,
rocm,8,8,0.134,478393.7,gfx1151,
rocm,8,32,0.147,1746784.6,gfx1151,
rocm,8,128,0.181,5658740.3,gfx1151,
rocm,8,512,0.397,10304791.1,gfx1151,
rocm,32,8,0.142,1809123.3,gfx1151,
rocm,32,32,0.16,6405605.8,gfx1151,
rocm,32,128,0.295,13872801.3,gfx1151,
rocm,32,512,2.629,6232930.7,gfx1151,
